ad_id,car_id,user_id,title,date_post
60,43,13,Dijual Honda Civic transmisi Automatic tahun 2013,2022-12-13
61,12,85,Dijual Toyota Calya transmisi Manual tahun 2019,2023-01-01
62,46,49,Dijual Suzuki Ertiga transmisi Manual tahun 2015,2022-11-21
63,38,93,Dijual Honda CR-V transmisi Manual tahun 2009,2022-07-14
64,19,84,Dijual Daihatsu Ayla transmisi Manual tahun 2017,2023-07-03
65,7,43,Dijual Toyota Agya transmisi Automatic tahun 2014,2023-01-08
66,17,23,Dijual Daihatsu Ayla transmisi Manual tahun 2019,2023-03-01
67,1,22,Dijual Toyota Yaris transmisi Automatic tahun 2016,2022-10-29
68,13,86,Dijual Toyota Calya transmisi Manual tahun 2017,2023-06-24
69,37,87,Dijual Honda CR-V transmisi Manual tahun 2017,2022-07-12
70,21,82,Dijual Daihatsu Terios transmisi Automatic tahun 2018,2023-04-29
71,44,93,Dijual Honda Civic transmisi Automatic tahun 2013,2022-09-20
72,30,24,Dijual Daihatsu Xenia transmisi Manual tahun 2018,2022-11-30
73,42,65,Dijual Honda Civic transmisi Automatic tahun 2010,2022-10-19
74,7,27,Dijual Toyota Agya transmisi Automatic tahun 2014,2023-03-10
75,37,86,Dijual Honda CR-V transmisi Manual tahun 2017,2023-01-16
76,45,54,Dijual Honda Civic transmisi Manual tahun 2019,2022-12-17
77,48,88,Dijual Suzuki Ertiga transmisi Manual tahun 2016,2023-03-04
78,8,79,Dijual Toyota Agya transmisi Automatic tahun 2016,2023-03-19
79,37,20,Dijual Honda CR-V transmisi Manual tahun 2017,2022-09-12
80,8,15,Dijual Toyota Agya transmisi Automatic tahun 2016,2022-09-12
81,5,82,Dijual Toyota Yaris transmisi Automatic tahun 2012,2022-08-17
82,1,80,Dijual Toyota Yaris transmisi Automatic tahun 2016,2022-08-26
83,30,27,Dijual Daihatsu Xenia transmisi Manual tahun 2018,2023-04-11
84,10,20,Dijual Toyota Agya transmisi Automatic tahun 2017,2023-02-20
85,16,70,Dijual Daihatsu Ayla transmisi Manual tahun 2016,2023-02-27
86,36,1,Dijual Honda CR-V transmisi Manual tahun 2018,2022-08-11
87,28,80,Dijual Daihatsu Xenia transmisi Manual tahun 2017,2023-05-17
88,36,42,Dijual Honda CR-V transmisi Manual tahun 2018,2023-01-02
89,27,64,Dijual Daihatsu Xenia transmisi Manual tahun 2022,2022-07-11
90,3,4,Dijual Toyota Yaris transmisi Automatic tahun 2014,2023-05-22
91,1,79,Dijual Toyota Yaris transmisi Automatic tahun 2016,2022-07-30
92,47,13,Dijual Suzuki Ertiga transmisi Manual tahun 2018,2022-07-25
93,47,79,Dijual Suzuki Ertiga transmisi Manual tahun 2018,2023-06-27
94,38,73,Dijual Honda CR-V transmisi Manual tahun 2009,2023-05-09
95,13,71,Dijual Toyota Calya transmisi Manual tahun 2017,2022-11-02
96,26,29,Dijual Daihatsu Xenia transmisi Manual tahun 2019,2022-09-21
97,25,44,Dijual Daihatsu Terios transmisi Automatic tahun 2018,2023-05-13
98,45,20,Dijual Honda Civic transmisi Manual tahun 2019,2023-01-10
99,47,54,Dijual Suzuki Ertiga transmisi Manual tahun 2018,2022-08-15
100,24,75,Dijual Daihatsu Terios transmisi Automatic tahun 2017,2022-07-15
